title,authors,published_date,categories,description,rating
What Is the What,,,,,4.16
A Heartbreaking Work of Staggering Genius,,,,,3.68
You Shall Know Our Velocity!,,,,,3.63
How We Are Hungry,,,,,3.75
How We Are Hungry: Stories,,,,,3.75
Merry Christmas  Stinky Face,,,,,3.97
Love You Until--,,,,,4.5
Year of Wonders,,,,,4.01
The Wonder Years: Helping Your Baby and Young Child Successfully Negotiate the Major Developmental Milestones,,,,,3.51
Wolves of the Calla (The Dark Tower  #5),,,,,4.18
A Man Without a Country,,,,,4.07
Slaughterhouse-Five,,,,,4.07
Kurt Vonnegut's Cat's Cradle (Modern Critical Interpretations),,,,,4.35
God Bless You  Dr. Kevorkian,,,,,3.84
Jailbird,,,,,3.82
Fates Worse Than Death,,,,,3.87
The Red Tent,,,,,4.17
Inside the Red Tent,,,,,3.96
Anita Diamant's The Red Tent: A Reader's Guide,,,,,4.13
La Jeune fille à la perle,,,,,3.88
Iron Kingdom: The Rise and Downfall of Prussia  1600–1947,,,,,4.14
Downfall (Dragonlance: Dhamon Saga  #1),,,,,3.68
Berlin: The Downfall  1945,,,,,4.29
El azul de la virgen,,,,,3.66
Saturday,,,,,3.63
I Love Saturdays y domingos,,,,,4.05
A Dangerous Fortune,,,,,4.05
The Man From St. Petersburg,,,,,3.88
Night Over Water,,,,,3.82
The Truth about the Drug Companies: How They Deceive Us and What to Do about It,,,,,3.95
La verdad acerca de las Industrias Farmacéuticas: cómo nos engaña y qué hacer al respecto,,,,,3.95
Jackdaws,,,,,3.97
Whiteout,,,,,3.58
Jackdaws,,,,,3.97
Battle Angel Alita - Last Order : Angel's Vision  Vol. 08,,,,,4.1
Battle Angel Alita - Last Order : Guilty Angel  Vol. 07,,,,,4.12
Gunnm Last Order  Tome 01,,,,,4.06
Your Inner Physician and You: CranioSacral Therapy and SomatoEmotional Release,,,,,4.11
My Life in France,,,,,4.17
A Short History of Nearly Everything (Illustrated Edition),,,,,4.21
The Drawing of the Three (The Dark Tower  #2),,,,,4.23
The Handmaid's Tale,,,,,4.11
The Handmaid's Tale,,,,,4.11
The Catcher in the Rye,,,,,3.8
The Catcher in the Rye - Barron's Book Notes,,,,,3.72
Franny and Zooey,,,,,3.98
Raise High the Roof Beam  Carpenters & Seymour: An Introduction,,,,,4.11
The Doors of Perception & Heaven and Hell,,,,,3.92
Brave New World,,,,,3.99
Island,,,,,3.83
The Perennial Philosophy,,,,,4.19
Huxley and God: Essays on Religious Experience,,,,,4.3
Moksha: Writings on Psychedelics & the Visionary Experience,,,,,4.19
Point Counter Point,,,,,3.86
After Many a Summer Dies the Swan,,,,,3.75
The Flame Trees of Thika: Memories of an African Childhood,,,,,4.12
The Devil Wears Prada (The Devil Wears Prada  #1),,,,,3.74
Arundhati Roy's The God of Small Things: A Reader's Guide,,,,,4.01
A Separate Peace,,,,,3.57
Black and Blue,,,,,3.88
A Virtuous Woman,,,,,3.69
Here on Earth,,,,,3.69
The Heart of a Woman,,,,,4.2
The Deep End of the Ocean (Cappadora Family  #1),,,,,3.87
Cane River,,,,,4.06
Where the Heart Is,,,,,4.02
Oprah Winfrey,,,,,3.79
Drowning Ruth,,,,,3.74
Fall on Your Knees,,,,,3.96
What Looks Like Crazy on an Ordinary Day (Idlewild  #1),,,,,3.73
While I Was Gone,,,,,3.69
Mother of Pearl,,,,,3.69
Breath  Eyes  Memory,,,,,3.88
The Book of Ruth,,,,,3.85
Open House,,,,,3.7
The Pilot's Wife,,,,,3.52
Tara Road,,,,,3.9
A Lesson Before Dying,,,,,3.95
Paradise,,,,,3.8
The Treasure Hunt: A Little Bill Book,,,,,3.34
She's Come Undone,,,,,3.88
We Were the Mulvaneys,,,,,3.73
A Map of the World,,,,,3.81
Daughter of Fortune,,,,,3.91
The Meanest Thing To Say,,,,,3.54
The Good Earth (House of Earth  #1),,,,,3.98
A Fine Balance,,,,,4.36
The Best Way to Play: A Little Bill Book,,,,,3.49
White Oleander,,,,,3.96
Cry  the Beloved Country,,,,,3.9
One Hundred Years of Solitude,,,,,4.07
Song of Solomon,,,,,4.06
One Hundred Years of Solitude,,,,,4.07
The Bluest Eye,,,,,4.03
The Poisonwood Bible,,,,,4.06
Vergeef me,,,,,4.18
The Crusader: Ronald Reagan and the Fall of Communism,,,,,4.23
Ronald Reagan: How an Ordinary Man Became an Extraordinary Leader,,,,,4.13
Ethan Frome and Summer,,,,,3.86
Collected Stories  1891-1910,,,,,4.26
A Backward Glance,,,,,3.76
The Best Short Stories of Edith Wharton,,,,,3.77
Complete Works of Oscar Wilde,,,,,4.45
Oscar Wilde,,,,,4.24
An Ideal Husband,,,,,4.04
The Picture of Dorian Gray,,,,,4.08
De Profundis and Other Writings,,,,,4.21
Sense and Sensuality: Jesus Talks to Oscar Wilde on the Pursuit of Pleasure (Great Conversations),,,,,3.95
Travels with Charley: In Search of America,,,,,4.08
Novels and Stories 1932–1937: The Pastures of Heaven / To a God Unknown / Tortilla Flat / In Dubious Battle / Of Mice and Men,,,,,4.35
The Pearl,,,,,3.46
The Life and Times of Scrooge McDuck,,,,,4.67
The Life and Times of Scrooge McDuck Companion,,,,,4.48
The Last Christmas of Ebenezer Scrooge,,,,,4.13
Uncle Scrooge #359,,,,,3.88
A Christmas Story,,,,,4.08
My First Story of Christmas,,,,,4.07
The Christmas Story,,,,,4.43
A Christmas Carol,,,,,4.05
A Christmas Carol,,,,,4.05
The Annotated Christmas Carol,,,,,4.05
Charles Dickens' A Christmas Carol,,,,,4.1
Little Dorrit,,,,,3.99
A Christmas Carol and Other Christmas Writings,,,,,4.14
The Life of Our Lord: Written for His Children During the Years 1846 to 1849,,,,,4.01
Hard Times,,,,,3.52
The Innocent Man: Murder and Injustice in a Small Town,,,,,3.82
The Last Juror,,,,,3.87
The Testament,,,,,3.86
The Rainmaker,,,,,3.94
The Partner,,,,,3.92
The Street Lawyer,,,,,3.83
The Summons,,,,,3.69
The Brethren,,,,,3.73
The King of Torts,,,,,3.68
Skipping Christmas,,,,,3.49
The Firm,,,,,4.01
The Client,,,,,4.0
A Painted House,,,,,3.7
The Summons / The Brethren,,,,,3.99
Dragonfly in Amber (Outlander  #2),,,,,4.32
Forever Amber,,,,,3.99
Amber Brown Is Green With Envy,,,,,3.95
Amber Brown Is Not a Crayon,,,,,3.84
Amber and Ashes (Dragonlance: The Dark Disciple  #1),,,,,3.87
The Waste Lands (The Dark Tower  #3),,,,,4.24
The Dragon's Eye (Dragonology Chronicles  #1),,,,,3.82
The Dragon's Eye (Erec Rex  #1),,,,,4.0
Dragon's Eye (Stonefort  #1),,,,,3.43
Dragon's Eye,,,,,3.51
"Stand Back  Said the Elephant  ""I'm Going to Sneeze!""",,,,,4.39
Here I Stand: A Life of Martin Luther,,,,,4.08
The Stand: Das letzte Gefecht,,,,,4.34
'Salem's Lot,,,,,4.25
'Salem's Lot,,,,,4.02
'Salem's Lot,,,,,4.02
Carrie / 'Salem's Lot / The Shining,,,,,4.54
'Salem's Lot,,,,,4.02
'Salem's Lot,,,,,4.02
Orientalism,,,,,4.08
Interpreter of Maladies,,,,,4.15
The Faiths of the Founding Fathers,,,,,3.89
Girls in Pants: The Third Summer of the Sisterhood (Sisterhood  #3),,,,,3.83
Forever in Blue: The Fourth Summer of the Sisterhood (Sisterhood  #4),,,,,3.81
Junie B.  First Grader: Cheater Pants (Junie B. Jones  #21),,,,,4.04
Nineteen Eighty-Four,,,,,4.18
Animal Farm / 1984,,,,,4.28
1984,,,,,4.18
Nineteen Eighty-Four,,,,,4.18
Brave New World / Brave New World Revisited,,,,,4.16
Brave New World and Brave New World Revisited,,,,,4.16
Brave New World Revisited,,,,,3.95
Brave New World,,,,,3.99
Andrew Carnegie,,,,,3.99
The Cairo Trilogy: Palace Walk / Palace of Desire / Sugar Street (The Cairo Trilogy #1-3),,,,,4.46
Children of the Alley,,,,,4.1
Akhenaten: Dweller in Truth,,,,,3.81
Adrift on the Nile,,,,,3.82
Midaq Alley,,,,,3.85
The Harafish,,,,,4.36
The Day the Leader Was Killed,,,,,3.63
Anne Frank Beyond the Diary: A Photographic Remembrance,,,,,4.27
Anne Frank Remembered: The Story of the Woman Who Helped to Hide the Frank Family,,,,,4.29
The Diary of Anne Frank,,,,,4.06
Anne Frank: Life in Hiding,,,,,3.99
Cliffs Notes on Hansberry's A Raisin in the Sun,,,,,3.9
Dear John,,,,,4.03
All the King's Men,,,,,4.09
Cliffs notes on Warren's All the King's Men,,,,,3.45
All the King's Men: Three Stage Versions,,,,,4.0
Men's Health: Book of Muscle - The World's Most Complete Guide to Building Your Body,,,,,3.98
Surely You're Joking  Mr. Feynman!: Adventures of a Curious Character,,,,,4.28
The Feynman Lectures on Physics  3 Vols,,,,,4.6
What Do You Care What Other People Think?,,,,,4.27
Perfectly Reasonable Deviations from the Beaten Track: Letters of Richard P. Feynman,,,,,4.25
QED: The Strange Theory of Light and Matter,,,,,4.24
Kiffe Kiffe Demain (French Edition),,,,,3.4
iWoz,,,,,3.87
Cradle to Cradle: Remaking the Way We Make Things,,,,,4.11
Cradle and All,,,,,3.86
The Creation of the American Republic  1776-1787,,,,,4.12
Power  Faith  and Fantasy: America in the Middle East 1776 to the Present,,,,,3.98
Problems of the Self: Philosophical Papers 1956 1972,,,,,3.97
Moral Luck: Philosophical Papers 1973-1980,,,,,4.09
Ethics and the Limits of Philosophy,,,,,4.06
On Rhetoric and Language: Four Key Dialogues,,,,,4.2
The Norton Anthology of Modern and Contemporary Poetry,,,,,4.23
The Elephant War,,,,,3.67
The Wind in the Willows,,,,,3.99
The Everyman Anthology of Poetry for Children,,,,,4.14
Holiday Romance and Other Writings for Children,,,,,3.32
Ideas Have Consequences,,,,,4.16
The Ethics of Rhetoric,,,,,4.14
Manliness,,,,,3.39
Anna Karenina,,,,,4.05
The Brothers Karamazov,,,,,4.32
Selected Stories of Anton Chekhov,,,,,4.35
Mother Maria Skobtsova: Essential Writings,,,,,4.31
What is Art?,,,,,3.72
The Complete Short Novels,,,,,4.47
The Double and The Gambler,,,,,4.16
The Adolescent,,,,,3.94
If I Die in a Combat Zone,,,,,3.95
If I Die In A Combat Zone,,,,,3.95
Rainbow Six (John Clark  #2; Jack Ryan Universe  #10),,,,,4.09
Child of War  Woman of Peace,,,,,3.8
When Heaven and Earth Changed Places: A Vietnamese Woman's Journey from War to Peace,,,,,4.12
Philip Vera Cruz: A Personal History of Filipino Immigrants and the Farmworkers Movement,,,,,4.22
Coming of Age in Mississippi: The Classic Autobiography of a Young Black Girl in the Rural South,,,,,4.13
I'm Too Young To Be Seventy,,,,,3.93
Seventy-Seven Clocks (Bryant & May #3),,,,,3.89
The Blank Slate: The Modern Denial of Human Nature,,,,,4.08
The Language Instinct: How the Mind Creates Language,,,,,4.03
Learnability and Cognition: The Acquisition of Argument Structure,,,,,3.75
Fight Club,,,,,4.19
BSD Hacks,,,,,3.8
The Design and Implementation of the 4.3BSD UNIX Operating System,,,,,4.26
Choke,,,,,3.84
Choke Point: A Brinker Mystery (Brinker P.I.),,,,,3.22
The Aleph and Other Stories,,,,,4.38
El Aleph,,,,,4.38
Vanity Fair,,,,,3.79
Vanity Fair,,,,,3.79
Vanity Fair,,,,,3.79
V for Vendetta,,,,,4.25
V.,,,,,3.96
Girl in the Shadows (Shadows  #2),,,,,3.81
V for Vendetta,,,,,4.15
Heaven (Casteel  #1),,,,,4.03
Slow Learner: Early Stories,,,,,3.5
A Gravity's Rainbow Companion: Sources and Contexts for Pynchon's Novel,,,,,4.01
Casino Royale,,,,,3.73
Casino Royale,,,,,3.7
Bel Canto,,,,,3.93
Guerilla Film Makers Movie Blueprint,,,,,4.2
Mini-Manual of the Urban Guerrilla,,,,,3.31
The Career Programmer: Guerilla Tactics for an Imperfect World (Expert's Voice),,,,,3.13
A Bend in the River,,,,,3.77
The Middle Passage,,,,,3.61
Magic Seeds,,,,,3.13
Half a Life,,,,,3.25
North of South: An African Journey,,,,,3.89
V.S. Naipaul,,,,,2.0
Regeneration Through Violence: The Mythology of the American Frontier  1600–1860,,,,,4.3
Regeneration (Species Imperative  #3),,,,,4.13
The Regeneration Trilogy (Regeneration  #1-3),,,,,4.38
The Sparrow (The Sparrow  #1),,,,,4.16
The Age of Bronze (Pirates of the Caribbean: Jack Sparrow  #5),,,,,4.05
The Sword of Cortés (Pirates of the Caribbean: Jack Sparrow  #4),,,,,3.98
The Pirate Chase (Pirates of the Caribbean: Jack Sparrow  #3),,,,,3.89
The Siren Song (Pirates of the Caribbean: Jack Sparrow  #2),,,,,3.86
The Coming Storm (Pirates of the Caribbean: Jack Sparrow  #1),,,,,3.83
The Woman in White,,,,,4.0
The Woman in White,,,,,4.0
The Woman in White,,,,,4.0
The Woman in White,,,,,4.0
The Lord of the Rings (The Lord of the Rings  #1-3),,,,,4.5
The 9/11 Commission Report: Final Report of the National Commission on Terrorist Attacks Upon the United States,,,,,3.6
The Hobbit  or There and Back Again,,,,,4.27
The Annotated Hobbit,,,,,4.27
Poems From The Hobbit,,,,,4.3
The Hobbit: Or There and Back Again,,,,,4.27
The Hobbit,,,,,4.27
Ruthless Rhymes for Heartless Homes and More Ruthless Rhymes,,,,,3.86
The Essential Neruda: Selected Poems,,,,,4.46
Twenty Love Poems and a Song of Despair,,,,,4.3
Veinte poemas de amor y una canción desesperada; Cien sonetos de amor,,,,,4.3
Love,,,,,4.46
Anil's Ghost,,,,,3.57
Waiting for My Cats to Die: A Memoir,,,,,3.67
Narcissus and Goldmund,,,,,4.2
Edward Lear's Book of Nonsense: With Lear's Original Illustrations,,,,,3.65
A Sparrow Falls (Courtney #3),,,,,4.19
Providence of a Sparrow: Lessons from a Life Gone to the Birds,,,,,4.33
Sparrow Hawk Red,,,,,3.79
The Fall of a Sparrow,,,,,3.69
The Bluebird and the Sparrow (Women of the West  #10),,,,,3.83
Journey of the Sparrows,,,,,3.69
Aleutian Sparrow,,,,,3.78
An Episode of Sparrows,,,,,4.21
Li Po and Tu Fu: Poems,,,,,4.14
混血王子的背叛 (哈利波特  #6),,,,,4.57
火盃的考驗 (哈利波特  #4),,,,,4.56
Five T'ang Poets,,,,,4.3
The End of Obscenity: The Trials of Lady Chatterley  Tropic of Cancer  and Fanny Hill,,,,,3.88
Juniper,,,,,4.16
The Long Road Back: A Survivor's Guide to Anorexia,,,,,3.2
The Road Back,,,,,4.32
Robinson Crusoe,,,,,3.67
Achilles in Vietnam: Combat Trauma and the Undoing of Character,,,,,4.25
The Work of Mourning,,,,,4.2
Transform Your Life: A step-by-step programme for change,,,,,4.0
A Short History of Byzantium,,,,,4.09
The Middle Sea: A History of the Mediterranean,,,,,3.85
A History of Venice,,,,,4.2
The Normans in Sicily: The Normans in the South 1016-1130 and the Kingdom in the Sun 1130-1194,,,,,4.34
Siddhartha,,,,,4.02
Siddhartha,,,,,4.02
Siddhartha,,,,,4.02
The Moonstone,,,,,3.91
The Moonstone,,,,,3.91
The Moonstone,,,,,3.91
Ride of the Second Horseman: The Birth and Death of War,,,,,4.29
Beloved,,,,,3.83
Cry  the Beloved Country,,,,,3.9
Life of the Beloved: Spiritual Living in a Secular World,,,,,4.28
Come Away My Beloved,,,,,4.58
Israel  My Beloved,,,,,4.16
Beloved Bride: The Letters of Stonewall Jackson to His Wife,,,,,4.1
The Search for the Beloved: Journeys in Mythology and Sacred Psychology (Inner Workbook),,,,,3.95
Reservation Blues,,,,,3.98
The Border Trilogy: All the Pretty Horses  The Crossing  Cities of the Plain,,,,,4.44
Music & Silence,,,,,3.95
The Periodic Table,,,,,4.21
Survival in Auschwitz,,,,,4.32
The Reawakening,,,,,4.29
The Drowned and the Saved,,,,,4.4
The Monkey's Wrench,,,,,3.92
Primo Levi: A Life,,,,,4.11
Wuthering Heights,,,,,3.85
Disgrace,,,,,3.84
Waiting for the Barbarians,,,,,3.94
The Lives of Animals,,,,,3.69
Boyhood: Scenes from Provincial Life,,,,,3.79
Youth,,,,,3.79
Age of Iron,,,,,3.84
The Wife (Kristin Lavransdatter  #2),,,,,4.15
Kristin Lavransdatter (Kristin Lavransdatter  #1-3),,,,,4.28
The Axe (The Master of Hestviken  #1),,,,,4.21
The Cross (Kristin Lavransdatter  #3),,,,,4.29
The Wreath (Kristin Lavransdatter  #1),,,,,4.02
The Mistress of Husaby (Kristin Lavransdatter  #2),,,,,4.15
Jenny,,,,,3.79
The Unknown Sigrid Undset: Jenny and Other Works,,,,,4.19
Gunnar's Daughter,,,,,4.18
The Snake Pit (The Master of Hestviken  #2),,,,,4.23
The Son Avenger (The Master of Hestviken  #4),,,,,4.4
An Imaginary Life,,,,,3.88
The Great World,,,,,3.88
A Very Long Engagement,,,,,3.91
Birdsong,,,,,4.09
The Collected Poems of Wilfred Owen,,,,,4.34
Murder in Foggy Bottom (Capital Crimes  #17),,,,,3.71
The Road,,,,,3.97
The Road to Serfdom,,,,,4.18
Road of the Patriarch (Forgotten Realms: The Sellswords  #3),,,,,4.19
Road Trip USA: Cross-Country Adventures on America's Two-Lane Highways,,,,,3.96
Howl's Moving Castle (Howl's Moving Castle  #1),,,,,4.29
Howl and Other Poems,,,,,4.13
When Rabbit Howls,,,,,4.04
The Art of Howl's Moving Castle,,,,,4.51
Howl: Original Draft Facsimile  Transcript & Variant Versions  Fully Annotated by Author  with Contemporaneous Correspondence,,,,,4.22
The Best of America's Test Kitchen 2007: The Year's Best Recipes  Equipment Reviews  and Tastings,,,,,4.35
Charlie and the Chocolate Factory (Charlie Bucket  #1),,,,,4.13
Charlie and the Chocolate Factory: A Play,,,,,4.33
Charlie and the Chocolate Factory (Abridged),,,,,3.86
Collected Stories,,,,,4.39
Roald Dahl Treasury,,,,,4.43
Dirty Beasts,,,,,4.01
Never Let Me Go,,,,,3.82
Never Let Me Go,,,,,3.82
Never Let Me Go,,,,,3.82
Homeric Moments: Clues to Delight in Reading the Odyssey and the Iliad,,,,,4.3
Paradoxes of Education in a Republic,,,,,4.28
The Music of the Republic: Essays on Socrates' Conversations and Plato's Writings,,,,,4.58
Open Secrets / Inward Prospects: Reflections on World and Soul,,,,,4.42
Phaedo,,,,,4.04
Rocky Stories: Tales of Love  Hope  and Happiness at America's Most Famous Steps,,,,,4.16
My Heart May Be Broken  but My Hair Still Looks Great (Domestic Equalizers #2),,,,,3.88
Since You're Leaving Anyway  Take Out the Trash (Domestic Equalizers #1),,,,,3.81
The Da Vinci Code (Robert Langdon  #2),,,,,3.84
Blessings from the Other Side: Wisdom and Comfort from the Afterlife for This Life,,,,,3.98
Mother God: The Feminine Principle to Our Creator,,,,,4.05
Thanksgiving,,,,,3.6
Plum Lovin' (Stephanie Plum  #12.5),,,,,3.72
Four to Score (Stephanie Plum  #4),,,,,4.17
Seven Up (Stephanie Plum  #7),,,,,4.16
Hard Eight (Stephanie Plum  #8),,,,,4.17
Motor Mouth (Alex Barnaby #2),,,,,3.68
A Supposedly Fun Thing I'll Never Do Again: Essays and Arguments,,,,,4.25
Ivanhoe,,,,,3.75
Ivanhoe,,,,,3.96
Me and Jezebel: When Bette Davis Came for Dinner -- And Stayed ... And Stayed ... And Stayed ... And ...,,,,,3.73
George Washington and Benedict Arnold: A Tale of Two Patriots,,,,,4.27
His Excellency: George Washington,,,,,3.92
George Washington's Rules of Civility & Decent Behavior in Company and Conversation (Little Books of Wisdom),,,,,4.08
George Washington's Sacred Fire,,,,,4.18
Waverley,,,,,3.43
The Antiquary,,,,,3.83
Rob Roy,,,,,3.7
Prozac Nation,,,,,3.59
Girl  Interrupted: Screenplay based on the book,,,,,4.02
How to Write a Damn Good Novel: A Step-by-Step No Nonsense Guide to Dramatic Storytelling,,,,,3.86
Book of the Dead (Kay Scarpetta  #15),,,,,3.65
At Risk (Winston Garano  #1),,,,,3.41
Predator (Kay Scarpetta  #14),,,,,3.68
Trace (Kay Scarpetta  #13),,,,,3.78
Postmortem (Kay Scarpetta  #1),,,,,4.02
Three Complete Novels: Postmortem / Body Of Evidence / All That Remains (Kay Scarpetta  #1  #2  #3),,,,,4.29
From Potter's Field (Kay Scarpetta  #6),,,,,4.04
The Body Farm (Kay Scarpetta  #5),,,,,4.05
Trace (Kay Scarpetta  #13),,,,,3.78
Cause of Death (Kay Scarpetta  #7),,,,,3.93
The Patricia Cornwell CD Audio Treasury: All That Remains / Cruel & Unusual (Kay Scarpetta  #3  #4),,,,,4.16
At Risk (Winston Garano  #1),,,,,3.41
The Scarpetta Collection: All That Remains / Cruel & Unusual (Kay Scarpetta  #3  #4),,,,,4.16
In the Dark of the Night,,,,,3.88
Perfect Nightmare,,,,,3.89
  said the shotgun to the head.,,,,,4.22
Early Color,,,,,4.73
Herzog,,,,,3.78
Midnight Voices,,,,,3.75
The Manhattan Hunt Club,,,,,3.98
Shadows,,,,,3.93
The Presence,,,,,3.76
Creature,,,,,3.84
Asylum (Blackstone Chronicles  #6),,,,,4.1
Suffer the Children,,,,,3.91
The Big Bad Wolf  (Alex Cross  #9),,,,,3.99
Big Bad Wolf,,,,,3.8
Why Do Men Fall Asleep After Sex? More Questions You'd Only Ask a Doctor After Your Third Whiskey Sour,,,,,3.55
Four Blondes,,,,,2.82
Lipstick Jungle,,,,,3.41
Lipstick Jungle,,,,,3.41
The Easy Way to Stop Smoking: Join the Millions Who Have Become Nonsmokers Using the Easyway Method,,,,,4.3
Teach Your Child to Read in 100 Easy Lessons,,,,,4.17
It's Not Easy Being Green: And Other Things to Consider,,,,,4.2
Playing Easy to Get (B.A.D. Agency #1.5; Vikings Underground #3; Immortals After Dark #1),,,,,4.13
The Big Over Easy (Nursery Crime  #1),,,,,3.94
The Enneagram Made Easy: Discover the 9 Types of People,,,,,3.82
It's Easy Being Green: A Handbook for Earth-Friendly Living,,,,,3.55
Le Divorce,,,,,2.88
Divine Conspiracy: Rediscovering Our Hidden Life in God,,,,,4.22
The Divine Comedy,,,,,4.07
The Divine Comedy,,,,,4.07
Divine,,,,,4.28
When the Emperor Was Divine,,,,,3.73
Complete Divine (Dungeons & Dragons Edition 3.5),,,,,3.64
A Divine Revelation of Hell,,,,,4.18
Boy: Tales of Childhood (Roald Dahl's Autobiography  #1),,,,,4.1
The Enormous Crocodile,,,,,3.78
The Magic Finger,,,,,3.68
The Wonderful Story of Henry Sugar and Six More,,,,,4.14
