title,authors,published_date,categories,description,rating,user_id
Nightfall,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.87,656
When Night Falls,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.44,354
Where the Broken Heart Still Beats: The Story of Cynthia Ann Parker,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.7,625
In Cahootz: Sequel to Hoodwinked,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.47,591
Earned Value Project Management,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.77,494
Quintessential Tarantino,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.25,535
The Foundations of Modern Political Thought: Volume One: The Renaissance,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.36,92
On the Road to Tara,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.0,84
Broken Vessels,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.33,157
In the Bedroom: Seven Stories,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.16,453
Thirteen Moons,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.69,13
Swimming Upstream: Collaborative Approaches to Watershed Management,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.21,510
Story of a Girl,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.66,523
"Approaches to Teaching Atwood's ""the Handmaid's Tale"" and Other Works (Approaches to Teaching World Literature)",Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.75,379
The Namesake,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.99,487
Becoming a Goddess of Inner Poise: Spirituality for the Bridget Jones in All of Us,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.59,235
Full House: The Spread of Excellence from Plato to Darwin,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.96,10
Eight Little Piggies: Reflections in Natural History,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.09,120
Time's Arrow  Time's Cycle: Myth and Metaphor in the Discovery of Geological Time,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.92,196
The Hedgehog  the Fox & the Magister's Pox: Mending the Gap Between Science & the Humanities,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.63,371
The Panda's Thumb: More Reflections in Natural History,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.11,311
Bully for Brontosaurus: Reflections in Natural History,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.15,563
Hen's Teeth and Horse's Toes: Further Reflections in Natural History,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.1,535
The Richness of Life: The Essential Stephen Jay Gould,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.25,209
The Wheel of Life: A Memoir of Living and Dying,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.16,196
Persuasive Communication,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.31,436
The Spook's Apprentice (The Last Apprentice / Wardstone Chronicles  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.99,405
Spooks: The Haunting of America: The Private Use of Secret Agents,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.12,280
No More Bull!: The Mad Cowboy Targets America's Worst Enemy: Our Diet,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.93,95
Animal E.R.: Extraordinary Stories Hope Healing from 1 World's Leading Veterinary Hospitals,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.95,505
ER Vets: Life in an Animal Emergency Room,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.91,443
Citizen Girl,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,2.4,105
On the Origin of Species by Means of Natural Selection,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.98,96
The Origin of Species/The Voyage of the Beagle,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.15,439
Genetics and the Origin of Species,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.14,280
Organized Crime,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.8,605
Physics of Fully Ionized Gases,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.25,365
Criminal Investigation: The Art and the Science,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.21,422
A Collection of Rudyard Kipling's Just So Stories,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.09,328
Just So Stories,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.09,320
If: A Father's Advice to His Son,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.39,557
The Waste Land,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.11,696
The Annotated Waste Land with Eliot's Contemporary Prose,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.11,331
The Waste Land and Other Writings,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.21,11
Climb the Family Tree  Jesse Bear!,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.49,624
What a Scare  Jesse Bear,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.47,547
Political Philosophy: A Beginners' Guide for Students and Politicians,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.93,678
Liberals and Communitarians,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.0,194
Political Philosophy: A Beginner's Guide for Students and Politicians,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.93,684
Seven Men and Two Others,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.88,597
Dakota,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.72,624
El Paso,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.35,640
The Visual Arts: A History,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.85,153
The Visual Arts: A History  Volume 2,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.0,635
The Brooklyn Bridge (Wonders of the World),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.44,483
The I Ching or Book of Changes,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.19,315
The Complete I Ching: The Definitive Translation,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.28,672
I Ching: The Book of Change,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.19,244
The Everyday I Ching,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.19,258
Richard Matheson's Hell House  Book 1,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.08,160
H.G. Wells' The War of the Worlds (Graphic Novel),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.87,660
New Complete Guide to Sewing,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.23,627
A Reader's Digest Songbook: Remembering Yesterday's Hits,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.38,634
Complete Guide to the Bible,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.58,108
焼きたて!!ジャぱん 1,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.97,509
200 Quilt Blocks: To Mix and Match,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.09,423
The Girl in the Glass,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.72,557
Peter and the Starcatchers (Peter and the Starcatchers  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.03,565
Peter Pan in Scarlet,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.55,607
It's All Too Much: An Easy Plan for Living a Richer Life with Less Stuff,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.85,339
Peter Pan,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.08,340
The Callahan Chronicals (Callahan's #1-3),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.31,153
The Pinhoe Egg  (Chrestomanci  #6),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.06,426
The Chronicles of Chrestomanci  Vol. 1 (Chrestomanci  #1-2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.21,510
The Time of the Ghost,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.66,306
Whitethorn Woods,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.61,44
The Builders,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.97,650
Dublin 4,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.64,341
Victoria Line  Central Line,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.6,687
Echoes,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.8,125
Firefly Summer,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.91,625
Aches & Pains,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.53,206
The Glass Lake,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.93,613
The Copper Beech,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.91,335
Dr. Jekyll and Mr. Hyde (Bullseye Chillers),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.81,328
Harry Potter and the Sorcerer's Stone (Harry Potter  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.47,95
Code Word Kangaroo (Adam Sharp #6),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.14,484
Operation Spy School (Adam Sharp  #4),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.8,614
The Empty Envelope (A to Z Mysteries  #5),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.06,583
The School Skeleton (A to Z Mysteries  #19),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.99,330
Moose Master (Adam Sharp #5),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.12,22
La Biblia de los Critales: Guia definitiva de los cristales (Cuerpo-Mente),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.38,205
Eva Hesse Drawing,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.55,253
The Pirates Laffite: The Treacherous World of the Corsairs of the Gulf,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.5,599
Wither (Wendy Ward  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.71,358
Howl's Moving Castle Film Comic  Vol. 1,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.41,53
Howl's Moving Castle Picture Book (Howl's Moving Castle Film Comics  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.41,293
The Theban Plays: Antigone  King Oidipous & Oidipous at Colonus (Focus Classical Library),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.97,136
The Complete Greek Tragedies  Volume 2: Sophocles,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.14,309
Doctor Faustus,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.08,357
The Makioka Sisters,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.03,660
Many Lives  Many Masters: The True Story of a Prominent Psychiatrist  His Young Patient  and the Past Life Therapy That Changed Both Their Lives,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.16,556
Naomi,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.69,73
Seven Japanese Tales,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.85,240
A Cat  a Man  and Two Women,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.8,675
The Reed Cutter & Captain Shigemoto's Mother,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.67,536
Le chat  son maître et ses deux maîtresses,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.8,86
Small Gods (Discworld  #13),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.29,369
Wintersmith (Discworld  #35; Tiffany Aching  #3),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.24,160
Strata,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.49,215
The Bromeliad Trilogy (Omnibus: Truckers / Diggers / Wings),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.07,157
The Color of Magic (Discworld  #1; Rincewind  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.0,34
The Truth (Discworld  #25; Industrial Revolution  #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.27,267
A Hat Full of Sky (Discworld  #32; Tiffany Aching  #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.3,510
The Last Hero (Discworld #27; Rincewind #7),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.17,491
Wyrd Sisters (Discworld  #6; Witches #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.13,540
A Tourist Guide to Lancre,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.06,302
The Light Fantastic (Discworld  #2; Rincewind #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.97,518
Equal Rites (Discworld  #3; Witches  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.03,389
Interesting Times: The Play,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.15,608
Nanny Ogg's Cookbook,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.0,108
Moving Pictures (Discworld  #10; Industrial Revolution  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.94,425
Darwin's Watch (The Science of Discworld  #3),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.94,168
Reaper Man (Discworld  #11; Death  #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.28,274
Only You Can Save Mankind (Johnny Maxwell  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.72,104
The Flying Sorcerers: More Comic Tales of Fantasy,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.99,108
Where's My Cow? (Discworld  #34.5),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.11,333
Lords and Ladies (Discworld  #14; Witches #4),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.17,250
Guards! Guards! (Discworld  #8),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.33,201
Hogfather (Discworld  #20; Death  #4),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.23,126
The Amazing Maurice and His Educated Rodents (Discworld  #28),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.05,196
Rincewind the Wizzard,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.21,508
Going Postal (Discworld  #33),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.38,388
The Last Hero: A Discworld Fable (Discworld  #27),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.17,509
Carpe Jugulum (Discworld #23; Witches #6),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.14,529
Truckers (Bromeliad Trilogy  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.92,496
X-Statix  Volume 1: Good Omens,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.97,480
Elliott Erwitt: Snaps,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.72,373
If Chins Could Kill: Confessions of a B Movie Actor,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.0,119
Real Ultimate Power: The Official Ninja Book,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.0,459
Team Yankee,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.07,30
At Sword's Point (Knights of the Blood  #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.52,25
Treasure of Khan (Dirk Pitt  #19),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.91,209
The Treasure Principle: Unlocking the Secret of Joyful Giving,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.13,599
Snow Treasure,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.97,191
The Damnation Game,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.82,426
Texas Hold'em for Dummies,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.82,329
Soldiers of Destruction: The SS Death's Head Division  1933-1945,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.99,13
Spy Catcher: The Candid Autobiography of a Senior Intelligence Officer,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.73,509
Nobody Loves a Centurion (SPQR  #6),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.14,7
The Centurion's Empire,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.61,346
The Centurions (The Centurions  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.14,610
The Heights of Courage: A Tank Leader's War on the Golan,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.2,166
Shattered Sword: The Untold Story of the Battle of Midway,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.42,218
Shattered Air: A True Account of Catastrophe and Courage on Yosemite's Half Dome,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.77,411
Shattered Bonds: The Color of Child Welfare,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.19,100
Shattered Dance,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.91,22
The Shattered Land (Eberron: The Dreaming Dark  #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.65,409
Koko's Kitten,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.3,128
13th Directorate,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,2.62,309
The Aviators (Brotherhood of War  #8),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.25,104
All I Really Need to Know I Learned in Kindergarten,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.03,192
Legends  Lies  Cherished Myths of World History,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.47,205
Trevayne,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.62,319
Red Phoenix,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.02,637
Boomers  Xers  and Other Strangers: Understanding the Generational Differences that Divide Us,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.36,256
The Boomer Bible,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.23,437
A Matter of Trust (Justice  #0),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.21,456
A Matter of Trust: The Case of the Mesmerizing Boss / The Case of the Confirmed Bachelor,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.04,131
A Matter Of Trust,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.31,274
A Matter of Trust,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,2.61,68
Mortal Fear (Mississippi #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.0,10
Mortal Fear,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.75,526
Murder On The Glitter Box (Steve Allen Mystery #3),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.6,627
Lonesome Dove,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.49,388
Comanche Moon,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.03,671
Night of the Fox (Dougal Munro and Jack Carter #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.92,104
Mitla Pass,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.84,293
The Complete Clive Barker's The Great And Secret Show,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.23,487
The Great And Secret Show (Book of the Art #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.05,283
Star Bright (Star Power  #8),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.67,568
Bright Star's Promise,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,2.77,445
Dragon Quest VIII: Journey of the Cursed King Official Strategy Guide,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.14,19
The Dragon Reborn (The Wheel of Time  #3),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.25,185
My Father's Dragon (My Father's Dragon  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.1,684
The Book of the Dragon,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.2,158
Must Love Dragons (Immortally Sexy  #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.98,104
Player's Handbook II,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.76,386
Here  There Be Dragons (Chronicles of the Imaginarium Geographica  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.86,442
The Dragon Doesn't Live Here Anymore: Living Fully  Loving Freely,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.27,480
Running with the Demon (Word & Void #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.97,575
The Black Unicorn (Magic Kingdom of Landover #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.77,640
Der Sohn von Shannara,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.16,94
First King of Shannara (Shannara Prequel),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.96,283
The Best of Lester Del Rey,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.79,667
The Phantom Menace (Star Wars: Novelizations  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.57,608
L'epée de Shannara,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.45,113
Star Wars. Episode I - Die dunkle Bedrohung,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.57,413
The Deming Management Method,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.95,396
The Scions of Shannara (Heritage of Shannara  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.99,673
The Three Musketeers (Classic Starts),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.12,421
The One Minute Minute Sales Person,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.78,59
JLA  Vol. 14: Trial by Fire,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.67,309
Manhunter  Vol. 2: Trial by Fire,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.9,240
Trial by Fire (Stargate SG-1  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.79,56
Trial By Fire,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.76,19
Trial by Fire (Newpointe 911 #4),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.36,573
Sahara (Dirk Pitt  #11),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.96,482
Africa South of the Sahara: A Geographical Interpretation (Texts In Regional Geography),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.12,509
Ellora's Cavemen: Dreams of the Oasis Volume II,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.63,637
Ghosts of Gettysburg III: Spirits  Apparitions  and Haunted Places of the Battlefield,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.03,392
SeinLanguage,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.63,534
Der Richter und sein Henker,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.73,479
It Doesn't Take a Hero: The Autobiography of General H. Norman Schwarzkopf,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.04,82
Battle Cry of Freedom,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.35,505
The Straight Dope,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.19,573
Return of the Straight Dope,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.22,243
Six Easy Pieces: Essentials of Physics Explained by Its Most Brilliant Teacher (Helix),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.21,265
The Feynman Lectures on Physics Vol 2,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.62,484
Sliding Scales (Pip & Flinx #10),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.88,315
Star Trek: Logs Seven and Eight (Star Trek: Log  #7-8),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.68,591
Star Trek: Logs One and Two (Star Trek: Log  #1-2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.46,589
Mid-Flinx (Pip & Flinx #7),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.94,11
Alien,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.09,272
The Chronicles of Riddick,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.95,619
With Friends Like These...,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.94,406
Nor Crystal Tears (Humanx Commonwealth  #9),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.03,96
The Hour of the Gate (Spellsinger  #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.84,606
Betcha Can't Read Just One,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.92,182
Star Wars: The Approaching Storm,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.51,456
Chorus Skating (Spellsinger  #8),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.62,635
Star Trek: Logs Five and Six (Star Trek: Log  #5-6),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.65,460
Star Trek: Logs 7-10,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.71,588
The Hand of Dinotopia,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.96,88
Interlopers,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.33,657
Alien Nation,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.55,177
Phylogenesis (Founding of the Commonwealth  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.82,124
Rashōmon and Seventeen Other Stories,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.13,121
How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.78,361
There Was a Cold Lady Who Swallowed Some Snow!,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.85,390
The Red Badge of Courage & The Veteran,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.38,540
The Red Badge of Courage and Four Stories,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.35,427
The Red Badge of Courage (Classic Starts),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.86,618
New Threads in the Pattern: The Great Hunt  Part 2 (Wheel of Time  #2-2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.27,627
Lord of Chaos (The Wheel of Time  #6),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.13,210
Crossroads of Twilight (Wheel of Time  #10),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.82,85
Frankenstein (SparkNotes Literature Guide),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.5,368
Mary Shelley‘s Frankenstein,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.79,177
Essential Monster of Frankenstein  Vol. 1,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.62,663
The Memoirs of Elizabeth Frankenstein,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.56,139
The Essential Frankenstein,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.79,143
Father of Frankenstein,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.1,280
The Walrus Was Paul: The Great Beatle Death Clues,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.72,211
Harpo Speaks!,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.41,207
